Original Sentence,Tokenized Sentence,POS Tags
"मात्र, त्यांनी कोल्हापुरीचा  संदर्भ, क्रेडिट न देता किंवा उल्लेखही न करता, ती स्वतःच्या ब्रँडच्या नावाखाली बाजारात आणण्याचा प्रयत्न केला.","मात्र , त्यांनी कोल्हापुरीचा संदर्भ , क्रेडिट न देता किंवा उल्लेखही न करता , ती स्वतःच्या ब्रँडच्या नावाखाली बाजारात आणण्याचा प्रयत्न केला .",AVP PUNCT PRP NN NN PUNCT NN NEG VBN CC NN NEG VBN PUNCT PRP PRP NN ADV ADV NN NN VM PUNCT
या प्रकाराने सोशल मीडियापासून ते व्यापार मंडळांपर्यंत सर्वत्र संतापाची लाट उसळली.,या प्रकाराने सोशल मीडियापासून ते व्यापार मंडळांपर्यंत सर्वत्र संतापाची लाट उसळली .,DEM NN JJ NN CC NN NN ADV NN NN VB PUNCT
"एकूण समाज, स्थानिक कारागीर आणि चेंबर ऑफ कॉमर्ससारख्या संस्थांनीही या कृतीचा तीव्र निषेध नोंदवला.","एकूण समाज , स्थानिक कारागीर आणि चेंबर ऑफ कॉमर्ससारख्या संस्थांनीही या कृतीचा तीव्र निषेध नोंदवला .",ADJ NN PUNCT ADJ NN CC NN PSP NN NN DEM NN ADJ NN VB PUNCT
"परिणामी, प्राडाला आपली चूक मान्य करावी लागली आणि शेवटी कबूल करावं लागलं की हो, हे डिझाइन कोल्हापुरी चपलेवर आधारितच आहे.","परिणामी , प्राडाला आपली चूक मान्य करावी लागली आणि शेवटी कबूल करावं लागलं की हो , हे डिझाइन कोल्हापुरी चपलेवर आधारितच आहे .",ADV PUNCT NN PRON NN ADJ VB VB CONJ ADV VB VB VB CC INTF PUNCT DEM NN ADJ NN ADJ VB PUNCT
वरून त्यांनी आम्ही स्थानिक कारागिरीचा सन्मान करतो अशी जोडही दिली.,वरून त्यांनी आम्ही स्थानिक कारागिरीचा सन्मान करतो अशी जोडही दिली .,ADV PRP PRP ADJ NN NN VRB ADJ NN VRB PUNCT
डागाळलेली प्रतिमा सुधारण्याच्या हेतूने प्राडाने त्यांच्या टीमला थेटकोल्हापूरलापाठविलं.,डागाळलेली प्रतिमा सुधारण्याच्या हेतूने प्राडाने त्यांच्या टीमला थेट कोल्हापूरला पाठविलं .,JJ NN NN ADV NNP PRP NN ADV NNP VB PUNCT
"त्यांनी काही कारखाने आणि दुकानांना भेटी दिल्या, सात कोल्हापुरी चपला खरेदी केल्या.","त्यांनी काही कारखाने आणि दुकानांना भेटी दिल्या , सात कोल्हापुरी चपला खरेदी केल्या .",PRP QF NN CC NN NN VM PUNCT NUM JJ NN VM VM PUNCT
पण त्यांचं हे पाऊल खरंच सच्च्या संवेदनशीलतेतून होतं की केवळ जनतेच्या रोषाला शांत करण्यासाठी रचलेला पीआर स्टंट होता; हा प्रश्नच आहे.,पण त्यांचं हे पाऊल खरंच सच्च्या संवेदनशीलतेतून होतं की केवळ जनतेच्या रोषाला शांत करण्यासाठी रचलेला पीआर स्टंट होता ; हा प्रश्नच आहे .,CC PRP DEM NN ADV ADJ NN VM CC ADV NN NN ADJ VRB ADJ NN NN VM PUNCT DEM NN AUX PUNCT
"कारण कोल्हापुरातील खरे कारागीर, हस्तकला मंडळं किंवा प्रत्यक्ष हस्तकलेशी संबंधित कोणत्याही संस्थेशी त्यांनी औपचारिक भागीदारी केली असल्याचं निदान वाचनात तरी आलेलं नाही.","कारण कोल्हापुरातील खरे कारागीर , हस्तकला मंडळं किंवा प्रत्यक्ष हस्तकलेशी संबंधित कोणत्याही संस्थेशी त्यांनी औपचारिक भागीदारी केली असल्याचं निदान वाचनात तरी आलेलं नाही .",CC NNP JJ NN PUNCT NN NN CC JJ NN JJ DEM NN PRP JJ NN VBP PRF NN NN RP VBN NEG PUNCT
"या साऱ्या प्रकरणातून एक गोष्ट ठळकपणे समोर आली : जर आपण निर्धाराने आपल्या हक्कासाठी आवाज उठवला, तर जगातील सर्वांत मोठ्या ब्रँडनाही नमविता येतं.","या साऱ्या प्रकरणातून एक गोष्ट ठळकपणे समोर आली : जर आपण निर्धाराने आपल्या हक्कासाठी आवाज उठवला , तर जगातील सर्वांत मोठ्या ब्रँडनाही नमविता येतं .",DEM ADJ NN NUM NN ADV ADV VB PUNCT CC PRP ADV PRP NN NN VB PUNCT CC ADJ ADJ ADJ NN VB VB PUNCT
"आपण गप्प बसलो असतो, तर कदाचित प्राडाने हे प्रकरण सहज जिरवलं असतं.","आपण गप्प बसलो असतो , तर कदाचित प्राडाने हे प्रकरण सहज जिरवलं असतं .",PRP ADV VB AUX PUNCT CONJ ADV NN DEM NN ADV VB AUX PUNCT
दर्ग्याभोवतीच्या रस्त्यांवर पाण्याचा जोरदार प्रवाह दिसून आला.,दर्ग्याभोवतीच्या रस्त्यांवर पाण्याचा जोरदार प्रवाह दिसून आला .,ADJ NN NN ADJ NN VB VB PUNCT
"मुसळधार पावसात, दर्ग्याच्या निजाम गेटच्या बाहेर एक तरुण तोल गेल्याने वेगाने वाहणाऱ्या पाण्यात पडला आणि वाहू लागला.","मुसळधार पावसात , दर्ग्याच्या निजाम गेटच्या बाहेर एक तरुण तोल गेल्याने वेगाने वाहणाऱ्या पाण्यात पडला आणि वाहू लागला .",ADJ NN PUNCT NN NN NN ADV DET NN NN ADV ADV ADJ NN VB CONJ VB VB PUNCT
"व्हायरल होत असलेल्या व्हिडिओमध्ये दिसत आहे की, पाण्याच्या प्रवाहात वाहणाऱ्या या तरुणाला तेथील दुकानदारांनी वाचवण्याचा प्रयत्न केला.","व्हायरल होत असलेल्या व्हिडिओमध्ये दिसत आहे की , पाण्याच्या प्रवाहात वाहणाऱ्या या तरुणाला तेथील दुकानदारांनी वाचवण्याचा प्रयत्न केला .",ADJ VAUX ADJ NN VAUX VAUX CC PUNCT NN NN ADJ DEM NN ADJ NN VB NN VB PUNCT
"मात्र, त्यांना यश आले नाही.","मात्र , त्यांना यश आले नाही .",CC PUNCT PRP NN VB NEG PUNCT
"दरम्यान, हॉटेलच्या एका कर्मचाऱ्याने त्या तरुणाचा हात धरून त्याला किनाऱ्यावर खेचले.","दरम्यान , हॉटेलच्या एका कर्मचाऱ्याने त्या तरुणाचा हात धरून त्याला किनाऱ्यावर खेचले .",ADV PUNCT NN NUM NN DEM NN NN VBN PRP NN VB PUNCT
यामुळे तरुणाचा जीव वाचला आणि एक दुःखद घटना टळली.,यामुळे तरुणाचा जीव वाचला आणि एक दुःखद घटना टळली .,DEM NN NN VB CC DET ADJ NN VB PUNCT
"एसडीआरएफ कमांडंट राजेंद्र सिंह सिसोदिया म्हणाले, १८ जुलै रोजी सायंकाळी अजमेर पोलिस नियंत्रण कक्षाला मुसळधार पावसामुळे शहरातील विविध वसाहतींमध्ये लोक अडकल्याची माहिती मिळाली.","एसडीआरएफ कमांडंट राजेंद्र सिंह सिसोदिया म्हणाले , १८ जुलै रोजी सायंकाळी अजमेर पोलिस नियंत्रण कक्षाला मुसळधार पावसामुळे शहरातील विविध वसाहतींमध्ये लोक अडकल्याची माहिती मिळाली .",NN NN NNP NNP NNP VB PUNCT NUM NN ADV ADV NNP NN NN NN ADJ NN ADJ ADJ NN NN ADJ NN VB PUNCT
"पथकाने परिस्थितीची माहिती घेतली असता, शहरातील सर्व तलाव ओव्हफ्लो झाल्याचे आढळून आले.","पथकाने परिस्थितीची माहिती घेतली असता , शहरातील सर्व तलाव ओव्हफ्लो झाल्याचे आढळून आले .",NN NN NN VB CC PUNCT JJ  सर्वनाम NN NN VB VB VB PUNCT
"शहरातील सुभाष नगर कॉलनी, सागर विहार, वन विहार कॉलनी, इदगाह कॉलनी, वैशाली नगर, आम तालब, गुलाब बारी यासारख्या भागात तीन ते चार फूट पाणी भरले होते.","शहरातील सुभाष नगर कॉलनी , सागर विहार , वन विहार कॉलनी , इदगाह कॉलनी , वैशाली नगर , आम तालब , गुलाब बारी यासारख्या भागात तीन ते चार फूट पाणी भरले होते .",ADJ NN NN NN PUNCT NN NN PUNCT NN NN NN PUNCT NN NN PUNCT NN NN PUNCT NN NN PUNCT NN NN ADJ NN NUM CC NUM NN NN VB VAUX PUNCT
यामुळे मोठ्या प्रमाणावर लोक अडकले होते.,यामुळे मोठ्या प्रमाणावर लोक अडकले होते .,PRP ADJ NN NN VBI VAUX PUNCT
एसडीआरएफ पथकाने १८ जुलैच्या रात्रीपासून १९ जुलैच्या संध्याकाळपर्यंत अजमेर शहरातील विविध वसाहतींमध्ये अडकलेल्या एकूण १७६ नागरिकांना वाचवले आहे.,एसडीआरएफ पथकाने १८ जुलैच्या रात्रीपासून १९ जुलैच्या संध्याकाळपर्यंत अजमेर शहरातील विविध वसाहतींमध्ये अडकलेल्या एकूण १७६ नागरिकांना वाचवले आहे .,NNP NN NUM NN ADV NUM NN ADV NNP JJ JJ NN JJ ADV NUM NN VB AUX PUNCT
पथक अजूनही पूर्णपणे सज्ज आहे.,पथक अजूनही पूर्णपणे सज्ज आहे .,NN ADV ADV ADJ VRB PUNCT
"मनी लाँड्रिंग प्रतिबंधक कायद्याच्या (पीएमएलए) कलम ६६ (२) नुसार, जर ईडीला इतर कोणत्याही कायद्याचे उल्लंघन झाल्याचे कळले तर ते स्वतः त्या गुन्ह्याची चौकशी करू शकत नाहीत.","मनी लाँड्रिंग प्रतिबंधक कायद्याच्या ( पीएमएलए ) कलम ६६ ( २ ) नुसार , जर ईडीला इतर कोणत्याही कायद्याचे उल्लंघन झाल्याचे कळले तर ते स्वतः त्या गुन्ह्याची चौकशी करू  शकत नाहीत .",NN NN ADJ NN PUNCT NN PUNCT NN NN PUNCT NN PUNCT ADP PUNCT CC NN ADJ ADJ NN NN VG VG CC PRP PRF DEM NN NN VG VAUX VAUX PUNCT
"खंडपीठाने म्हटले की, ईडीने त्या गुन्ह्याची चौकशी करण्यासाठी अधिकृत एजन्सीला माहिती द्यावी.","खंडपीठाने म्हटले की , ईडीने त्या गुन्ह्याची चौकशी करण्यासाठी अधिकृत एजन्सीला माहिती द्यावी .",NN VB CC PUNCT NN DEM NN NN VRB ADJ NN NN VRB PUNCT
ईडीचे अधिकार फक्त तेव्हाच वापरले जाऊ शकतात जेव्हा एखादा गुन्हा झाला असेल किंवा त्या गुन्ह्यातून काही चुकीच्या पद्धतीने पैसे मिळवले असतील.,ईडीचे अधिकार फक्त तेव्हाच वापरले जाऊ शकतात जेव्हा एखादा गुन्हा झाला असेल किंवा त्या गुन्ह्यातून काही चुकीच्या पद्धतीने पैसे मिळवले असतील .,NN NN ADV ADV VBP AUX VBP CC DET NN VBD AUX CC DEM NN QF ADJ NN NN VBD AUX PUNCT
प्रकरण काय?,प्रकरण काय ?,NN PR PUNCT
२०१४ मध्ये छत्तीसगडमधील कोळसा खाण वाटपाबाबत दाखल झालेल्या सीबीआय एफआयआरशी हे प्रकरण संबंधित आहे.,२०१४ मध्ये छत्तीसगडमधील कोळसा खाण वाटपाबाबत दाखल झालेल्या सीबीआय एफआयआरशी हे प्रकरण संबंधित आहे .,NUM POST NNP NN NN NN ADJ ADJ NNP NN DEM NN ADJ AUX PUNCT
"तथापि, २०१७ मध्ये, सीबीआयने या प्रकरणात क्लोजर रिपोर्ट दाखल केला होता, ज्यामध्ये असे म्हटले होते की, कोणतीही अनियमितता आढळली नाही; परंतु सीबीआय न्यायालयाने हा अहवाल अमान्य करत, काही मुद्द्यांवर पुढील चौकशीचे आदेश दिले.","तथापि , २०१७ मध्ये , सीबीआयने या प्रकरणात क्लोजर रिपोर्ट दाखल केला होता , ज्यामध्ये असे म्हटले होते की , कोणतीही अनियमितता आढळली नाही ; परंतु सीबीआय न्यायालयाने हा अहवाल अमान्य करत , काही मुद्द्यांवर पुढील चौकशीचे आदेश दिले .", অব্যয় PUNCT NUM POST PUNCT NNP DEM NN NN NN VRB VRB AUX PUNCT PRP ADV VRB AUX CONJ PUNCT DET NN VRB NEG PUNCT CONJ NNP NN DEM NN VRB VRB PUNCT DET NN ADJ NN NN VRB PUNCT
पुरवणी अहवाल सादर,पुरवणी अहवाल सादर,ADJ NN VB
"२०२३ मध्ये, सीबीआयने एक पुरवणी अहवाल दाखल केला, ज्यामध्ये काही आरोप निश्चित करण्यात आले.","२०२३ मध्ये , सीबीआयने एक पुरवणी अहवाल दाखल केला , ज्यामध्ये काही आरोप निश्चित करण्यात आले .",NN PSP PUNCT NN DET JJ NN VB VB PUNCT PRP QF NN JJ VB VB PUNCT
"यानंतर, ईडीने ३१ जानेवारी २०२५ रोजी कंपनीच्या संचालकांच्या आणि इतर संबंधित संस्थांच्या जागेवर छापे टाकले आणि ९०१ कोटी रुपयांच्या एफडी गोठवल्या.","यानंतर , ईडीने ३१ जानेवारी २०२५ रोजी कंपनीच्या संचालकांच्या आणि इतर संबंधित संस्थांच्या जागेवर छापे टाकले आणि ९०१ कोटी रुपयांच्या एफडी गोठवल्या .",ADV PUNCT NN NUM NN NUM POST NN NN CC ADJ ADJ NN ADV NN VB CC NUM NN ADJ NN VB PUNCT
"कंपनीने या आदेशाला न्यायालयात आव्हान दिले, जेउच्च न्यायालयानेफेटाळले.","कंपनीने या आदेशाला न्यायालयात आव्हान दिले , जे उच्च न्यायालयाने फेटाळले .",NN DEM NN NN NN VB PUNCT PRP ADJ NN VB PUNCT
"""त्या दिवसापासून बाळासाहेब ठाकरे मला 'शिवसेनेचा अवधूत' म्हणू लागले. . . ""; अवधूत गुप्तेने सांगितला भन्नाट किस्सा",त्या दिवसापासून बाळासाहेब ठाकरे मला ' शिवसेनेचा अवधूत ' म्हणू लागले . . . ; अवधूत गुप्तेने सांगितला भन्नाट किस्सा,DEM NN NNP NNP PRP PUNCT NN NN PUNCT VRB VRB PUNCT PUNCT PUNCT PUNCT NNP NNP VRB ADJ NN
अवधूत गुप्तेचं हे राजकीय कनेक्शन आलं कुठून याचा किस्सा नुकताच त्याने सांगितला आहे.,अवधूत गुप्तेचं हे राजकीय कनेक्शन आलं कुठून याचा किस्सा नुकताच त्याने सांगितला आहे .,NNP NN DEM ADJ NN VB ADV PRON NN ADV PRON VB AUX PUNCT
'सर्व काही'या युट्यूब चॅनलला दिलेल्या मुलाखतीत अवधूत गुप्तेनेबाळासाहेब ठाकरेंसोबतचीएक आठवण सांगितली.,' सर्व काही ' या युट्यूब चॅनलला दिलेल्या मुलाखतीत अवधूत गुप्तेने बाळासाहेब ठाकरेंसोबतची एक आठवण सांगितली .,PUNCT  सर्वनाम सर्वनाम PUNCT DEM NN NN ADJ NN NN NN NN NN NUM NN VB PUNCT
तिथूनच त्याचं राजकीय कनेक्शन आल्याचंही तो म्हणाला.,तिथूनच त्याचं राजकीय कनेक्शन आल्याचंही तो म्हणाला .,ADV PRON ADJ NN VB PRON VB PUNCT
अंतराळात पीक बियाणे : सहा पिकांच्या बियांच्या वाढ आणि बदलांचा अभ्यास.,अंतराळात पीक बियाणे : सहा पिकांच्या बियांच्या वाढ आणि बदलांचा अभ्यास .,NN NN NN PUNCT NUM NN NN NN CC NN NN PUNCT
हा भारतकेंद्रित कृषी संशोधनाचा एकभाग आहे.,हा भारतकेंद्रित कृषी संशोधनाचा एक भाग आहे .,DEM ADJ NN NN NUM NN VM PUNCT
"सूक्ष्म शैवालभविष्यातील सुपरफूड : स्पिरुलिना व सायनोकोससारख्या शैवालांच्या वाढीचे, प्रथिने उत्पादनाचे विश्लेषण.","सूक्ष्म शैवालभविष्यातील सुपरफूड : स्पिरुलिना व सायनोकोससारख्या शैवालांच्या वाढीचे , प्रथिने उत्पादनाचे विश्लेषण .",ADJ ADJ NN PUNCT NN CC ADJ NN NN PUNCT NN NN NN PUNCT
हे बंदलूप लाइफ सपोर्ट सिस्टममध्ये उपयुक्त ठरतील.,हे बंडल लूप लाइफ सपोर्ट सिस्टममध्ये उपयुक्त ठरतील .,DEM NN NN NN NN NN ADJ VRB PUNCT
टार्डिग्रेड सर्व्हायव्हल : अंतराळाच्या कठीण परिस्थितीत जगण्याचा आणि प्रजननक्षमतेचा अभ्यास.,टार्डिग्रेड सर्वायव्हल : अंतराळाच्या कठीण परिस्थितीत जगण्याचा आणि प्रजननक्षमतेचा अभ्यास .,NN NN PUNCT NN ADJ NN NN CC NN NN PUNCT
"प्रदर्शनांचा संज्ञानात्मक परिणाम : ताण, डोळ्यांची हालचाल आणि संगणक स्क्रीनशी संबंधित वापरातील बदलांचे विश्लेषण.",,
स्नायूंचे पुनरुत्पादन : सूक्ष्म गुरुत्वाकर्षणात स्नायूंच्या पुनर्प्राप्ती आणि वाढीवर पौष्टिकपूरक आहारांचा परिणाम तपासला जाईल.,स्नायूंचे पुनरुत्पादन : सूक्ष्म गुरुत्वाकर्षणात स्नायूंच्या पुनर्प्राप्ती आणि वाढीवर पौष्टिकपूरक आहारांचा परिणाम तपासला जाईल .,NN NN PUNCT ADJ NN NN NN CC NN ADJ NN NN VM VM PUNCT
हे मंगळ मोहिमेसाठी आणि पृथ्वीवरील स्नायूंच्या आजारांसाठी उपयुक्त ठरू शकते.,हे मंगळ मोहिमेसाठी आणि पृथ्वीवरील स्नायूंच्या आजारांसाठी उपयुक्त ठरू शकते .,DEM NN NN CC JJ NN NN JJ VB VB PUNCT
"राजस्थानात मुसळधार पाऊस, अजमेरमध्ये तरुण वाहून जाताजाता बचावला; असा वाचला जीव, बघा","राजस्थानात मुसळधार पाऊस , अजमेरमध्ये तरुण वाहून जाताजाता बचावला ; असा वाचला जीव , बघा",NN ADJ NN PUNCT NN NN VB RB VB PUNCT DEM VB NN PUNCT VB
राजस्थानातीलअनेक भागांत मुसळधार पावसामुळे पूरसदृश परिस्थिती निर्माण झाली आहे.,राजस्थानातील अनेक भागांत मुसळधार पावसामुळे पूरसदृश परिस्थिती निर्माण झाली आहे .,NN JJ NN JJ NN JJ NN VB VB AUX PUNCT
"येथील अजमेर, बुंदी, पुष्कर, सवाई माधोपूर आणि पाली यांसारख्या शहरांमध्ये परिस्थिती फारच वाईट असल्याचे बोलले जात आहे.","येथील अजमेर , बुंदी , पुष्कर , सवाई माधोपूर आणि पाली यांसारख्या शहरांमध्ये परिस्थिती फारच वाईट असल्याचे बोलले जात आहे .",DEM NNP PUNCT NNP PUNCT NNP PUNCT NNP NNP CC NNP ADP NN NN ADV JJ PART VRB VAUX VAUX PUNCT
राज्य आपत्ती प्रतिसाद दलाने (एसडीआरएफ) मुसळधार पावसामुळे प्रभावित अजमेर जिल्ह्यातील १७६ लोकांना सुरक्षित ठिकाणी हलवले आहे.,राज्य आपत्ती प्रतिसाद दलाने ( एसडीआरएफ ) मुसळधार पावसामुळे प्रभावित अजमेर जिल्ह्यातील १७६ लोकांना सुरक्षित ठिकाणी हलवले आहे .,NN NN NN NN PUNCT NN PUNCT ADJ NN ADJ NN NN NUM NN ADJ NN VB AUX PUNCT
"एनडीटीव्हीच्या वृत्तानुसार, अजमेरमध्ये झालेल्या मुसळधार पावसामुळे ख्वाजा गरीब नवाजच्या दर्ग्यासह शहराच्या इतर भागात मोठ्या प्रमाणावर पाणी साचले होते.","एनडीटीव्हीच्या वृत्तानुसार , अजमेरमध्ये झालेल्या मुसळधार पावसामुळे ख्वाजा गरीब नवाजच्या दर्ग्यासह शहराच्या इतर भागात मोठ्या प्रमाणावर पाणी साचले होते .",NN ADV PUNCT NN ADJ ADJ NN NN ADJ NN NN NN ADJ NN ADJ ADV NN VB AUX PUNCT
"त्यामध्ये सार्कमधील पाकिस्तान, अफगाणिस्तान व मालदीव या देशांना वगळण्यात आले आहे, तर थायलंड आणि म्यानमार या दोन देशांचा समावेश करण्यात आला आहे.","त्यामध्ये सार्कमधील पाकिस्तान , अफगाणिस्तान व मालदीव या देशांना वगळण्यात आले आहे , तर थायलंड आणि म्यानमार या दोन देशांचा समावेश करण्यात आला आहे .",PRON ADJ NN PUNCT NN CC NN DEM NN VBG AUX AUX PUNCT CC NN CC NN DEM NUM NN NN VBG AUX AUX PUNCT
पाकिस्तानच्या दहशतवादाला प्रोत्साहन देण्याच्या वृत्तीमुळे सार्कच्या वाटचालीत येत असलेला अडथळा दूर करण्याचा भारताचा तो प्रयत्न होता.,पाकिस्तानच्या दहशतवादाला प्रोत्साहन देण्याच्या वृत्तीमुळे सार्कच्या वाटचालीत येत असलेला अडथळा दूर करण्याचा भारताचा तो प्रयत्न होता .,NN NN NN VRB NN NN NN VRB VRB NN ADV VRB NN DEM NN VRB PUNCT
आता पाकिस्तान तोच डाव भारतावर उलटविण्याचा प्रयत्न चीनच्या सहकार्याने करीत आहे.,आता पाकिस्तान तोच  डाव भारतावर उलटविण्याचा प्रयत्न चीनच्या सहकार्याने करीत आहे .,ADV NNP DEM NN NNP NN NN NNP ADV VRB AUX PUNCT
भारताला वगळून दक्षिण आशियातील देशांची सार्कला पर्याय ठरणारी नवी संघटना उभी करण्याचा त्यांचा प्रयत्न आहे.,भारताला वगळून दक्षिण आशियातील देशांची सार्कला पर्याय ठरणारी नवी संघटना उभी करण्याचा त्यांचा प्रयत्न आहे .,NN VBG JJ JJ NN NN NN JJ JJ NN VBI VRB PRP NN AUX PUNCT
"अलीकडील अंतर्गत घडामोडींच्या पार्श्वभूमीवर, बिमस्टेकचे मुख्यालय ज्या देशात आहे, तो बांगलादेशच गळाला लागल्याने पाकिस्तान व चीनचा हुरूप वाढला होता; परंतु, सांस्कृतिकदृष्ट्या हजारो वर्षांपासून भारताशी नाळ जुळलेल्या नेपाळने त्यांच्या फुग्याला टाचणी लावून हवा काढली आहे.","अलीकडील अंतर्गत घडामोडींच्या पार्श्वभूमीवर , बिमस्टेकचे मुख्यालय ज्या देशात आहे , तो बांगलादेशच गळाला लागल्याने पाकिस्तान व चीनचा हुरूप वाढला होता ; परंतु , सांस्कृतिकदृष्ट्या हजारो वर्षांपासून भारताशी नाळ जुळलेल्या नेपाळने त्यांच्या फुग्याला टाचणी लावून हवा काढली आहे .",ADJ ADJ NN NN PUNCT NN NN PRON NN AUX PUNCT PRON NN NN ADV NN CC NN NN VB AUX PUNCT CONJ PUNCT ADV NUM ADV POST NN ADJ NN PRON NN NN ADV NN VB AUX PUNCT
नेपाळचा सार्कमध्ये ठाम विश्वास आहे आणि भारताच्या संपूर्ण सहकार्याने सार्कचे पुनरुज्जीवन करण्यासाठी तो उत्सुक आहे.,नेपाळचा सार्कमध्ये ठाम विश्वास आहे आणि भारताच्या संपूर्ण सहकार्याने सार्कचे पुनरुज्जीवन करण्यासाठी तो उत्सुक आहे .,NN NN JJ NN VM CC NN JJ NN NN NN VM PRP JJ VM PUNCT
त्यामुळे भारताला वगळून दक्षिण आशियात कोणतीही नवी संघटना निर्माण करण्याच्या प्रयत्नांना नेपाळने विरोध दर्शविला असल्याचे वृत्त आहे.,त्यामुळे भारताला वगळून दक्षिण आशियात कोणतीही नवी संघटना निर्माण करण्याच्या प्रयत्नांना नेपाळने विरोध दर्शविला असल्याचे वृत्त आहे .,CC NN VBG JJ NN QF JJ NN VB VM NN NN NN VM VM NN VM PUNCT
"भारताशी घनिष्ट संबंध असलेल्या भूतानशी तूर्त संपर्कच करायचा नाही, असे पाकचीनने ठरविले आहे; कारण, भूतान आपल्या गळाला लागणार नाही, याची त्यांना खात्री आहे.","भारताशी घनिष्ट संबंध असलेल्या भूतानशी तूर्त संपर्कच करायचा नाही , असे पाकचीनने ठरविले आहे ; कारण , भूतान आपल्या गळाला लागणार नाही , याची त्यांना खात्री आहे .",NN ADJ NN ADJ NN ADV NN VB NEG PUNCT DEM NN VB AUX PUNCT CC PUNCT NN PRP NN VB NEG PUNCT PRP PRP NN AUX PUNCT
अलीकडील काळात श्रीलंकेसोबतच्या भारताच्या संबंधात सुधारणा झाली आहे.,अलीकडील काळात श्रीलंकेसोबतच्या भारताच्या संबंधात सुधारणा झाली आहे .,JJ NN NN NN NN NN VB AUX PUNCT
"शिवाय आर्थिक लाभ उपटण्यासाठी श्रीलंका अधूनमधून चीनला थारा देत आला असला तरी, एखाद्या भारतविरोधी संघटनेत सहभागी होऊन भारताच्या कोपभाजनास पात्र होण्याचे धाडस तो नक्कीच करणार नाही.","शिवाय आर्थिक लाभ उपटण्यासाठी श्रीलंका अधूनमधून चीनला थारा देत आला असला तरी , एखाद्या भारतविरोधी संघटनेत सहभागी होऊन भारताच्या कोपभाजनास पात्र होण्याचे धाडस तो नक्कीच करणार नाही .",CC JJ NN INF NNP ADV NNP NN VBG VBD VBI CC PUNCT DEM JJ NN JJ VBG NN NN JJ NN NN PRP ADV VGF NEG PUNCT
मालदीवचे विद्यमान राष्ट्राध्यक्ष चीनधार्जिणे असल्याने तो देश एखाद्यावेळी पाकचीनच्या गळाला लागू शकतो.,मालदीवचे विद्यमान राष्ट्राध्यक्ष चीनधार्जिणे असल्याने तो देश एखाद्यावेळी पाकचीनच्या गळाला लागू शकतो .,NN ADJ NN ADJ CC PRP NN ADV NN NN VB AUX PUNCT
"त्याने 'झेंडा','मोरया' या गाजलेल्या सिनेमांचं दिग्दर्शन केलं.","त्याने 'झेंडा' , 'मोरया' या गाजलेल्या सिनेमांचं दिग्दर्शन केलं .",PRP NN PUNCT NN DEM ADJ NN NN VB PUNCT
'सूर नवा ध्यास नवा' कार्यक्रमाचा तो निर्माता आणि परीक्षकही आहे.,' सूर नवा ध्यास नवा ' कार्यक्रमाचा तो निर्माता आणि परीक्षकही आहे .,PUNCT NN ADJ NN ADJ PUNCT NN DEM NN CC NN V PUNCT
महाराष्ट्र राज्य सहकारी संघाच्या निवडणुकीत 'सहकार पॅनेल'ची आघाडी: २१ पैकी ९ उमेदवार बिनविरोध,महाराष्ट्र राज्य सहकारी संघाच्या निवडणुकीत ' सहकार पॅनेल ' ची आघाडी : २१ पैकी ९ उमेदवार बिनविरोध,NN NN ADJ NN NN PUNCT NN NN PUNCT POST NN PUNCT NUM POST NUM NN ADJ
"मुंबई :महाराष्ट्रराज्य सहकारी संघाच्या २०२५ ते ३० या पंचवार्षिक निवडणुकीकरिता राज्य सहकारी संघाचे नेते संजीव कुसाळकर व ज्येष्ठ सहकार नेते शिवाजीराव नलावडे यांच्या नेतृत्वाखाली सहकार पॅनेलचे २१ पैकी ९ उमेदवार बिनविरोध निवडून आले, अशी माहिती भाजप गटनेते व मुंबई बँकेचे अध्यक्ष आमदार प्रवीण दरेकर यांनी शनिवारी आयोजित पत्रकार परिषदेत दिली.","मुंबई : महाराष्ट्रराज्य सहकारी संघाच्या २०२५ ते ३० या पंचवार्षिक निवडणुकीकरिता राज्य सहकारी संघाचे नेते संजीव कुसाळकर व ज्येष्ठ सहकार नेते शिवाजीराव नलावडे यांच्या नेतृत्वाखाली सहकार पॅनेलचे २१ पैकी ९ उमेदवार बिनविरोध निवडून आले , अशी माहिती भाजप गटनेते व मुंबई बँकेचे अध्यक्ष आमदार प्रवीण दरेकर यांनी शनिवारी आयोजित पत्रकार परिषदेत दिली .",NNP PUNCT NNP ADJ NN NUM CC NUM DEM ADJ NN NN ADJ NN NN NNP NNP CC ADJ NN NN NNP NNP PRP NN NN NN NUM ADP NUM NN ADV VBI AUX PUNCT DEM NN NNP NN CC NNP NN NN NN NNP NNP PRP NN VBI NN NN VBI PUNCT
महाराष्ट्रसहकारी संघ शिक्षणप्रशिक्षण देणारी संस्था आहे.,महाराष्ट्रसहकारी संघ शिक्षणप्रशिक्षण देणारी संस्था आहे .,NN NN NN VRB NN AUX PUNCT
राज्य सहकारी संघाची निवडणूक २०२५३० करिता २७ जुलै रोजी पार पडणार आहे.,राज्य सहकारी संघाची निवडणूक २०२५३० करिता २७ जुलै रोजी पार पडणार आहे .,NN ADJ NN NN NUM POST NUM NN ADV ADV VB AUX PUNCT
